id;created_at;updated_at;anonymous_id
1;2024-05-28T23:40:06;2024-05-29T03:44:49;ff6ae29c-ec6e-4d34-bb4f-da7977dbad21
2;2024-05-29T09:29:56;2024-05-29T11:38:53;af017b90-9392-466d-943f-860df037912f
3;2024-05-29T05:57:09;2024-05-29T05:49:52;e24b5d35-359f-42e6-9211-fdeb55f5cffb
4;2024-05-28T20:46:10;2024-05-29T08:18:43;cd6262cc-8cbb-499b-9c4d-0d23abcc71db
5;2024-05-29T00:52:01;2024-05-28T17:43:26;d80b0e9f-0872-4228-8be7-90abfe295fff
6;2024-05-28T18:11:39;2024-05-28T21:33:27;fb039bbf-829d-46af-9e87-f500993c727d
7;2024-05-28T19:05:54;2024-05-29T00:41:02;581c199c-664e-4842-bdfb-dc63fbe9e86e
8;2024-05-28T22:34:58;2024-05-29T09:02:48;d28d69f5-c630-4b55-a61c-d0d9a7e7d201
9;2024-05-28T20:20:47;2024-05-29T02:51:13;e945b419-68cc-46ea-a541-cb3bd4cface5
10;2024-05-28T18:49:56;2024-05-29T12:34:57;90dae2a6-e5b7-43f9-9746-3aeaa9d357f7
